"","SiteID","Total_Vessels","Begin_Hour_loc","Begin_Date_loc","ves_yn","Weekday","Week","Month","Day_month","trans_inside","man_inside","total_inside"
"84","Cod Grounds",0,20,2019-04-20,"N","Saturday",16,4,20,NA,NA,NA
"85","Cod Grounds",0,21,2019-04-20,"N","Saturday",16,4,20,NA,NA,NA
"86","Cod Grounds",0,22,2019-04-20,"N","Saturday",16,4,20,NA,NA,NA
"87","Cod Grounds",0,23,2019-04-20,"N","Saturday",16,4,20,NA,NA,NA
"88","Cod Grounds",0,0,2019-04-21,"N","Sunday",16,4,21,NA,NA,NA
"89","Cod Grounds",0,1,2019-04-21,"N","Sunday",16,4,21,NA,NA,NA
"90","Cod Grounds",0,2,2019-04-21,"N","Sunday",16,4,21,NA,NA,NA
"91","Cod Grounds",0,3,2019-04-21,"N","Sunday",16,4,21,NA,NA,NA
"92","Cod Grounds",0,4,2019-04-21,"N","Sunday",16,4,21,NA,NA,NA
"93","Cod Grounds",0,5,2019-04-21,"N","Sunday",16,4,21,NA,NA,NA
"94","Cod Grounds",2,6,2019-04-21,"Y","Sunday",16,4,21,NA,NA,NA
"95","Cod Grounds",1,7,2019-04-21,"Y","Sunday",16,4,21,NA,NA,NA
"96","Cod Grounds",2,8,2019-04-21,"Y","Sunday",16,4,21,0,1,1
"97","Cod Grounds",1,9,2019-04-21,"Y","Sunday",16,4,21,NA,NA,NA
"98","Cod Grounds",0,10,2019-04-21,"N","Sunday",16,4,21,NA,NA,NA
"99","Cod Grounds",1,11,2019-04-21,"Y","Sunday",16,4,21,NA,NA,NA
"100","Cod Grounds",1,12,2019-04-21,"Y","Sunday",16,4,21,NA,NA,NA
"101","Cod Grounds",0,13,2019-04-21,"N","Sunday",16,4,21,NA,NA,NA
"102","Cod Grounds",0,14,2019-04-21,"N","Sunday",16,4,21,NA,NA,NA
"103","Cod Grounds",0,15,2019-04-21,"N","Sunday",16,4,21,NA,NA,NA
"104","Cod Grounds",0,16,2019-04-21,"N","Sunday",16,4,21,NA,NA,NA
"105","Cod Grounds",0,17,2019-04-21,"N","Sunday",16,4,21,NA,NA,NA
"106","Cod Grounds",0,18,2019-04-21,"N","Sunday",16,4,21,NA,NA,NA
"107","Cod Grounds",0,19,2019-04-21,"N","Sunday",16,4,21,NA,NA,NA
"108","Cod Grounds",0,20,2019-04-21,"N","Sunday",16,4,21,NA,NA,NA
"109","Cod Grounds",0,21,2019-04-21,"N","Sunday",16,4,21,NA,NA,NA
"110","Cod Grounds",0,22,2019-04-21,"N","Sunday",16,4,21,NA,NA,NA
"111","Cod Grounds",0,23,2019-04-21,"N","Sunday",16,4,21,NA,NA,NA
"112","Cod Grounds",0,0,2019-04-22,"N","Monday",16,4,22,NA,NA,NA
"113","Cod Grounds",0,1,2019-04-22,"N","Monday",16,4,22,NA,NA,NA
"114","Cod Grounds",0,2,2019-04-22,"N","Monday",16,4,22,NA,NA,NA
"115","Cod Grounds",0,3,2019-04-22,"N","Monday",16,4,22,NA,NA,NA
"116","Cod Grounds",0,4,2019-04-22,"N","Monday",16,4,22,NA,NA,NA
"117","Cod Grounds",0,5,2019-04-22,"N","Monday",16,4,22,NA,NA,NA
"118","Cod Grounds",1,6,2019-04-22,"Y","Monday",16,4,22,NA,NA,NA
"119","Cod Grounds",1,7,2019-04-22,"Y","Monday",16,4,22,NA,NA,NA
"120","Cod Grounds",2,8,2019-04-22,"Y","Monday",16,4,22,NA,NA,NA
"121","Cod Grounds",1,9,2019-04-22,"Y","Monday",16,4,22,NA,NA,NA
"122","Cod Grounds",0,10,2019-04-22,"N","Monday",16,4,22,NA,NA,NA
"123","Cod Grounds",1,11,2019-04-22,"Y","Monday",16,4,22,NA,NA,NA
"124","Cod Grounds",4,12,2019-04-22,"Y","Monday",16,4,22,NA,NA,NA
"125","Cod Grounds",1,13,2019-04-22,"Y","Monday",16,4,22,NA,NA,NA
"126","Cod Grounds",0,14,2019-04-22,"N","Monday",16,4,22,NA,NA,NA
"127","Cod Grounds",0,15,2019-04-22,"N","Monday",16,4,22,NA,NA,NA
"128","Cod Grounds",0,16,2019-04-22,"N","Monday",16,4,22,NA,NA,NA
"129","Cod Grounds",0,17,2019-04-22,"N","Monday",16,4,22,NA,NA,NA
"130","Cod Grounds",0,18,2019-04-22,"N","Monday",16,4,22,NA,NA,NA
"131","Cod Grounds",0,19,2019-04-22,"N","Monday",16,4,22,NA,NA,NA
"132","Cod Grounds",0,20,2019-04-22,"N","Monday",16,4,22,NA,NA,NA
"133","Cod Grounds",0,21,2019-04-22,"N","Monday",16,4,22,NA,NA,NA
"134","Cod Grounds",0,22,2019-04-22,"N","Monday",16,4,22,NA,NA,NA
"135","Cod Grounds",0,23,2019-04-22,"N","Monday",16,4,22,NA,NA,NA
"136","Cod Grounds",0,0,2019-04-23,"N","Tuesday",17,4,23,NA,NA,NA
"137","Cod Grounds",0,1,2019-04-23,"N","Tuesday",17,4,23,NA,NA,NA
"138","Cod Grounds",0,2,2019-04-23,"N","Tuesday",17,4,23,NA,NA,NA
"139","Cod Grounds",0,3,2019-04-23,"N","Tuesday",17,4,23,NA,NA,NA
"140","Cod Grounds",0,4,2019-04-23,"N","Tuesday",17,4,23,NA,NA,NA
"141","Cod Grounds",0,5,2019-04-23,"N","Tuesday",17,4,23,NA,NA,NA
"142","Cod Grounds",1,6,2019-04-23,"Y","Tuesday",17,4,23,NA,NA,NA
"143","Cod Grounds",1,7,2019-04-23,"Y","Tuesday",17,4,23,NA,NA,NA
"144","Cod Grounds",0,8,2019-04-23,"N","Tuesday",17,4,23,NA,NA,NA
"145","Cod Grounds",1,9,2019-04-23,"Y","Tuesday",17,4,23,NA,NA,NA
"146","Cod Grounds",1,10,2019-04-23,"Y","Tuesday",17,4,23,NA,NA,NA
"147","Cod Grounds",1,11,2019-04-23,"Y","Tuesday",17,4,23,NA,NA,NA
"148","Cod Grounds",0,12,2019-04-23,"N","Tuesday",17,4,23,NA,NA,NA
"149","Cod Grounds",0,13,2019-04-23,"N","Tuesday",17,4,23,NA,NA,NA
"150","Cod Grounds",0,14,2019-04-23,"N","Tuesday",17,4,23,NA,NA,NA
"151","Cod Grounds",0,15,2019-04-23,"N","Tuesday",17,4,23,NA,NA,NA
"152","Cod Grounds",0,16,2019-04-23,"N","Tuesday",17,4,23,NA,NA,NA
"153","Cod Grounds",0,17,2019-04-23,"N","Tuesday",17,4,23,NA,NA,NA
"154","Cod Grounds",0,18,2019-04-23,"N","Tuesday",17,4,23,NA,NA,NA
"155","Cod Grounds",0,19,2019-04-23,"N","Tuesday",17,4,23,NA,NA,NA
"156","Cod Grounds",0,20,2019-04-23,"N","Tuesday",17,4,23,NA,NA,NA
"157","Cod Grounds",0,21,2019-04-23,"N","Tuesday",17,4,23,NA,NA,NA
"158","Cod Grounds",0,22,2019-04-23,"N","Tuesday",17,4,23,NA,NA,NA
"159","Cod Grounds",0,23,2019-04-23,"N","Tuesday",17,4,23,NA,NA,NA
"160","Cod Grounds",0,0,2019-04-24,"N","Wednesday",17,4,24,NA,NA,NA
"161","Cod Grounds",0,1,2019-04-24,"N","Wednesday",17,4,24,NA,NA,NA
"162","Cod Grounds",0,2,2019-04-24,"N","Wednesday",17,4,24,NA,NA,NA
"163","Cod Grounds",0,3,2019-04-24,"N","Wednesday",17,4,24,NA,NA,NA
"164","Cod Grounds",0,4,2019-04-24,"N","Wednesday",17,4,24,NA,NA,NA
"165","Cod Grounds",0,5,2019-04-24,"N","Wednesday",17,4,24,NA,NA,NA
"166","Cod Grounds",1,6,2019-04-24,"Y","Wednesday",17,4,24,NA,NA,NA
"167","Cod Grounds",2,7,2019-04-24,"Y","Wednesday",17,4,24,NA,NA,NA
"168","Cod Grounds",1,8,2019-04-24,"Y","Wednesday",17,4,24,NA,NA,NA
"169","Cod Grounds",1,9,2019-04-24,"Y","Wednesday",17,4,24,0,1,1
