,Filename,Date,Selection,RMS,PeakFreq,PeakLev,used,ins_sm,out_sm,ins_med,out_med,ins_lg,out_lg,pins_sm,pins_med,pins_lg,pins_ovrll
48,5458.210519052957_sel02_S2.wav,2.10519E+11,S2,110.680716,216,92.07998401,1,116,0,0,685,0,426,1,0,0,0.144818976
49,5458.210519052957_sel03_S3.wav,2.10519E+11,S3,108.11153,110,87.23825683,1,111,85,0,914,0,112,0.566326531,0,0,0.1
50,5458.210519052957_sel05_S4.wav,2.10519E+11,S4,111.9695151,207,87.7091765,1,111,75,0,891,0,145,0.596774194,0,0,0.103064067
51,5458.210519052957_sel06_S5.wav,2.10519E+11,S5,109.3280233,3261,80.63839329,1,97,276,0,835,0,0,0.260053619,0,NA,0.080298013
52,5458.210519052957_sel07_S15.wav,2.10519E+11,S15,111.3029965,196,97.4987817,1,62,0,57,404,0,577,1,0.123644252,0,0.227533461
53,5458.210519052957_sel10_S16.wav,2.10519E+11,S16,105.8674299,363,71.19569045,1,46,738,0,373,0,0,0.058673469,0,NA,0.039757995
54,5458.210519052957_sel10_S6.wav,2.10519E+11,S6,109.9365778,3654,80.52830414,1,97,280,0,831,0,0,0.25729443,0,NA,0.080298013
55,5458.210519052957_sel14_S7.wav,2.10519E+11,S7,113.0851535,154,90.92542086,1,115,17,0,738,0,356,0.871212121,0,0,0.132183908
56,5458.210519052957_sel15_S8.wav,2.10519E+11,S8,112.0679625,148,84.98578561,1,107,139,0,972,0,0,0.43495935,0,NA,0.087848933
57,5458.210519052957_sel16_S9.wav,2.10519E+11,S9,106.9924912,347,79.09335491,1,92,335,0,776,0,0,0.215456674,0,NA,0.076475478
58,5458.210519052957_sel20_S10.wav,2.10519E+11,S10,106.859325,168,88.19565499,1,112,65,0,868,0,178,0.632768362,0,0,0.107177033
59,5458.210520052947_sel01_S11.wav,2.1052E+11,S11,106.1475924,165,77.70784086,1,87,394,0,717,0,0,0.180873181,0,NA,0.072621035
60,5458.210520052947_sel02_S1.wav,2.1052E+11,S1,110.8176126,176,103.5261528,1,30,0,90,180,0,422,1,0.333333333,0,0.4
61,5458.210520052947_sel04_S2.wav,2.1052E+11,S2,110.7185414,220,91.78628269,1,115,4,0,698,0,409,0.966386555,0,0,0.140758874
62,5458.210520052947_sel05_S3.wav,2.1052E+11,S3,108.9507246,257,82.69985021,1,103,205,0,906,0,0,0.334415584,0,NA,0.084843493
63,5458.210520052947_sel06_S4.wav,2.1052E+11,S4,114.0533437,189,105.3711079,1,24,0,96,129,0,376,1,0.426666667,0,0.481927711
64,5458.210520052947_sel07_S5.wav,2.1052E+11,S5,109.9642525,1877,75.28408628,1,75,509,0,602,0,0,0.128424658,0,NA,0.063237774
65,5458.210520052947_sel08_S6.wav,2.1052E+11,S6,126.533457,162,111.3754915,1,12,0,109,10,0,239,1,0.915966387,0,0.923664122
66,5458.210520052947_sel10_S7.wav,2.1052E+11,S7,108.6028579,262,84.69261176,1,107,147,0,964,0,0,0.421259843,0,NA,0.087848933
67,5458.210520052947_sel13_S8.wav,2.1052E+11,S8,106.335868,325,71.70468035,1,50,707,0,404,0,0,0.066050198,0,NA,0.043066322
68,5458.210520052947_sel19_S15.wav,2.1052E+11,S15,106.9643464,117,87.24899483,1,111,84,0,914,0,113,0.569230769,0,0,0.100090171
69,5458.210520052947_sel20_S16.wav,2.1052E+11,S16,110.6175102,234,91.16203895,1,115,13,0,727,0,371,0.8984375,0,0,0.134502924
70,5458.210520052947_sel27_S18.wav,2.1052E+11,S18,109.7620233,3863,77.1565959,1,84,419,0,692,0,0,0.166998012,0,NA,0.070292887
71,5458.210521052939_sel01_S1.wav,2.10521E+11,S1,114.9337583,129,91.64146158,1,115,6,0,705,0,400,0.950413223,0,0,0.139225182
72,5458.210521052939_sel01_S7.wav,2.10521E+11,S7,107.3072615,144,76.93775311,1,83,429,0,682,0,0,0.162109375,0,NA,0.069514238
73,5458.210521052939_sel04_S6.wav,2.10521E+11,S6,109.4367853,194,84.8341751,1,107,143,0,968,0,0,0.428,0,NA,0.087848933
74,5458.210521052939_sel06_S4.wav,2.10521E+11,S4,108.8592286,338,72.22594638,1,54,676,0,435,0,0,0.073972603,0,NA,0.046351931
75,5458.210524052912_sel02_S1.wav,2.10524E+11,S1,124.4266056,64,115.2809663,1,7,0,77,0,37,131,1,1,0.220238095,1
76,5458.210524052912_sel03_S2.wav,2.10524E+11,S2,115.0686109,200,95.73301206,1,76,0,42,487,0,621,1,0.079395085,0,0.195041322
77,5458.210524052912_sel05_S3.wav,2.10524E+11,S3,111.7629402,133,95.87003498,1,75,0,43,480,0,618,1,0.082217973,0,0.197324415
78,5458.210525052904_sel02_S9.wav,2.10525E+11,S9,106.9832613,316,73.82676234,1,66,586,0,525,0,0,0.101226994,0,NA,0.056074766
79,5458.210525052904_sel04_S10.wav,2.10524E+11,S10,114.80354,154,93.73298864,1,96,0,21,591,0,520,1,0.034313725,0,0.165254237
80,5458.210525052904_sel05_S1.wav,2.10525E+11,S1,119.2753908,201,87.49417281,1,111,79,0,902,0,130,0.584210526,0,0,0.101648352
81,5458.210525052904_sel08_S12.wav,2.10525E+11,S12,109.8476714,138,86.8603658,1,110,93,0,933,0,85,0.541871921,0,0,0.096830986
82,5458.210525052904_sel09_S2.wav,2.10525E+11,S2,112.6203954,51,84.75133002,1,107,145,0,966,0,0,0.424603175,0,NA,0.087848933
83,5458.210525052904_sel10_S3.wav,2.10525E+11,S3,109.9688395,4063,80.29482227,1,96,288,0,823,0,0,0.25,0,NA,0.07953604
84,5458.210525052904_sel14_S5.wav,2.10525E+11,S5,121.4273051,1550,100.4919532,1,43,0,76,281,0,501,1,0.212885154,0,0.2975
85,5458.210525052904_sel16_S6.wav,2.10525E+11,S6,125.6017141,87,105.9404044,1,23,0,98,115,0,362,1,0.460093897,0,0.512711864
86,5458.210525052904_sel18_S7.wav,2.10525E+11,S7,121.9211825,93,102.1479548,1,36,0,84,223,0,458,1,0.273615635,0,0.349854227
87,5458.210525052904_sel21_S8.wav,2.10525E+11,S8,109.2307253,137,81.20360353,1,99,255,0,856,0,0,0.279661017,0,NA,0.081818182
88,5458.210525052904_sel23_S13.wav,2.10525E+11,S13,106.6352728,115,78.53158598,1,90,359,0,752,0,0,0.200445434,0,NA,0.074937552
89,5458.210525052904_sel26_S14.wav,2.10525E+11,S14,107.8922702,2217,80.96427517,1,98,264,0,847,0,0,0.270718232,0,NA,0.081058726
90,5458.210526052856_sel03_S1.wav,2.10526E+11,S1,107.8303701,911,72.20022469,1,54,678,0,433,0,0,0.073770492,0,NA,0.046351931
91,5458.210526052856_sel10_S4.wav,2.10526E+11,S4,108.3631925,725,72.97512439,1,60,633,0,478,0,0,0.086580087,0,NA,0.051238258
92,5458.210527052845_sel08_S4.wav,2.10527E+11,S4,110.2189998,175,83.18351832,1,104,190,0,921,0,0,0.353741497,0,NA,0.085596708
93,5458.210527052845_sel12_S5.wav,2.10527E+11,S5,112.9521816,317,80.1122512,1,96,295,0,816,0,0,0.245524297,0,NA,0.07953604
94,5458.210527052845_sel14_S6.wav,2.10527E+11,S6,106.1559869,545,73.50642439,1,64,604,0,507,0,0,0.095808383,0,NA,0.054468085
