"","Begin_Date","Begin_Hour","Transit","Notes","SiteID"
"252",2020-02-18,11,0,NA,"MRW"
"253",2020-02-18,12,0,NA,"MRW"
"254",2020-02-18,13,0,NA,"MRW"
"255",2020-02-18,14,0,NA,"MRW"
"256",2020-02-18,15,0,NA,"MRW"
"257",2020-02-18,16,0,NA,"MRW"
"258",2020-02-18,17,0,NA,"MRW"
"259",2020-02-18,18,0,NA,"MRW"
"260",2020-02-18,19,0,NA,"MRW"
"261",2020-02-18,20,0,NA,"MRW"
"262",2020-02-18,21,0,NA,"MRW"
"263",2020-02-18,22,0,NA,"MRW"
"264",2020-02-18,23,0,NA,"MRW"
"265",2020-02-19,0,0,NA,"MRW"
"266",2020-02-19,1,0,NA,"MRW"
"267",2020-02-19,2,0,NA,"MRW"
"268",2020-02-19,3,0,NA,"MRW"
"269",2020-02-19,4,0,NA,"MRW"
"270",2020-02-19,5,0,NA,"MRW"
"271",2020-02-19,6,0,NA,"MRW"
"272",2020-02-19,7,0,NA,"MRW"
"273",2020-02-19,8,0,NA,"MRW"
"274",2020-02-19,9,0,NA,"MRW"
"275",2020-02-19,10,0,NA,"MRW"
"276",2020-02-19,11,0,NA,"MRW"
"277",2020-02-19,12,0,NA,"MRW"
"278",2020-02-19,13,0,NA,"MRW"
"279",2020-02-19,14,0,NA,"MRW"
"280",2020-02-19,15,0,NA,"MRW"
"281",2020-02-19,16,0,NA,"MRW"
"282",2020-02-19,17,0,NA,"MRW"
"283",2020-02-19,18,0,NA,"MRW"
"284",2020-02-19,19,0,NA,"MRW"
"285",2020-02-19,20,0,NA,"MRW"
"286",2020-02-19,21,0,NA,"MRW"
"287",2020-02-19,22,0,NA,"MRW"
"288",2020-02-19,23,0,NA,"MRW"
"289",2020-02-20,0,0,NA,"MRW"
"290",2020-02-20,1,0,NA,"MRW"
"291",2020-02-20,2,0,NA,"MRW"
"292",2020-02-20,3,0,NA,"MRW"
"293",2020-02-20,4,0,NA,"MRW"
"294",2020-02-20,5,0,NA,"MRW"
"295",2020-02-20,6,0,NA,"MRW"
"296",2020-02-20,7,0,NA,"MRW"
"297",2020-02-20,8,0,NA,"MRW"
"298",2020-02-20,9,0,NA,"MRW"
"299",2020-02-20,10,0,NA,"MRW"
"300",2020-02-20,11,0,NA,"MRW"
"301",2020-02-20,12,0,NA,"MRW"
"302",2020-02-20,13,0,NA,"MRW"
"303",2020-02-20,14,0,NA,"MRW"
"304",2020-02-20,15,0,NA,"MRW"
"305",2020-02-20,16,0,NA,"MRW"
"306",2020-02-20,17,0,NA,"MRW"
"307",2020-02-20,18,0,NA,"MRW"
"308",2020-02-20,19,0,NA,"MRW"
"309",2020-02-20,20,0,NA,"MRW"
"310",2020-02-20,21,0,NA,"MRW"
"311",2020-02-20,22,0,NA,"MRW"
"312",2020-02-20,23,0,NA,"MRW"
"313",2020-02-21,0,0,NA,"MRW"
"314",2020-02-21,1,0,NA,"MRW"
"315",2020-02-21,2,0,NA,"MRW"
"316",2020-02-21,3,0,NA,"MRW"
"317",2020-02-21,4,0,NA,"MRW"
"318",2020-02-21,5,0,NA,"MRW"
"319",2020-02-21,6,0,NA,"MRW"
"320",2020-02-21,7,0,NA,"MRW"
"321",2020-02-21,8,0,NA,"MRW"
"322",2020-02-21,9,0,NA,"MRW"
"323",2020-02-21,10,0,NA,"MRW"
"324",2020-02-21,11,0,NA,"MRW"
"325",2020-02-21,12,0,NA,"MRW"
"326",2020-02-21,13,0,NA,"MRW"
"327",2020-02-21,14,0,NA,"MRW"
"328",2020-02-21,15,0,NA,"MRW"
"329",2020-02-21,16,0,NA,"MRW"
"330",2020-02-21,17,0,NA,"MRW"
"331",2020-02-21,18,0,NA,"MRW"
"332",2020-02-21,19,0,NA,"MRW"
"333",2020-02-21,20,0,NA,"MRW"
"334",2020-02-21,21,0,NA,"MRW"
"335",2020-02-21,22,0,NA,"MRW"
"336",2020-02-21,23,0,NA,"MRW"
"337",2020-02-22,0,0,NA,"MRW"
"338",2020-02-22,1,0,NA,"MRW"
"339",2020-02-22,2,0,NA,"MRW"
"340",2020-02-22,3,0,NA,"MRW"
"341",2020-02-22,4,0,NA,"MRW"
"342",2020-02-22,5,0,NA,"MRW"
"343",2020-02-22,6,0,NA,"MRW"
"344",2020-02-22,7,0,NA,"MRW"
"345",2020-02-22,8,0,NA,"MRW"
"346",2020-02-22,9,0,NA,"MRW"
"347",2020-02-22,10,0,NA,"MRW"
"348",2020-02-22,11,0,NA,"MRW"
"349",2020-02-22,12,0,NA,"MRW"
