"","Begin_Date","Begin_Hour","Maneuver","Transit","UK","Notes","SiteID"
"166",2019-06-17,21,0,0,NA,NA,"EP"
"167",2019-06-17,22,0,0,NA,NA,"EP"
"168",2019-06-17,23,0,0,NA,NA,"EP"
"169",2019-06-18,0,0,0,NA,NA,"EP"
"170",2019-06-18,1,0,0,NA,NA,"EP"
"171",2019-06-18,2,0,0,NA,NA,"EP"
"172",2019-06-18,3,0,0,NA,NA,"EP"
"173",2019-06-18,4,0,0,NA,NA,"EP"
"174",2019-06-18,5,0,0,NA,NA,"EP"
"175",2019-06-18,6,0,0,NA,NA,"EP"
"176",2019-06-18,7,0,0,NA,NA,"EP"
"177",2019-06-18,8,0,0,NA,NA,"EP"
"178",2019-06-18,9,0,0,NA,NA,"EP"
"179",2019-06-18,10,0,1,0,NA,"EP"
"180",2019-06-18,11,0,0,NA,NA,"EP"
"181",2019-06-18,12,0,0,NA,NA,"EP"
"182",2019-06-18,13,0,0,NA,NA,"EP"
"183",2019-06-18,14,0,0,NA,NA,"EP"
"184",2019-06-18,15,0,0,NA,NA,"EP"
"185",2019-06-18,16,0,0,NA,NA,"EP"
"186",2019-06-18,17,0,0,NA,NA,"EP"
"187",2019-06-18,18,0,0,NA,NA,"EP"
"188",2019-06-18,19,0,0,NA,NA,"EP"
"189",2019-06-18,20,0,0,NA,NA,"EP"
"190",2019-06-18,21,0,0,NA,NA,"EP"
"191",2019-06-18,22,0,0,NA,NA,"EP"
"192",2019-06-18,23,0,0,NA,NA,"EP"
"193",2019-06-19,0,0,0,NA,NA,"EP"
"194",2019-06-19,1,0,0,NA,NA,"EP"
"195",2019-06-19,2,0,0,NA,NA,"EP"
"196",2019-06-19,3,0,0,NA,NA,"EP"
"197",2019-06-19,4,0,0,NA,NA,"EP"
"198",2019-06-19,5,0,0,NA,NA,"EP"
"199",2019-06-19,6,0,0,NA,NA,"EP"
"200",2019-06-19,7,0,0,NA,NA,"EP"
"201",2019-06-19,8,0,1,0,NA,"EP"
"202",2019-06-19,9,0,0,NA,NA,"EP"
"203",2019-06-19,10,0,0,NA,NA,"EP"
"204",2019-06-19,11,0,1,0,NA,"EP"
"205",2019-06-19,12,0,0,NA,NA,"EP"
"206",2019-06-19,13,0,0,NA,NA,"EP"
"207",2019-06-19,14,0,0,NA,NA,"EP"
"208",2019-06-19,15,0,0,NA,NA,"EP"
"209",2019-06-19,16,0,0,NA,NA,"EP"
"210",2019-06-19,17,0,0,NA,NA,"EP"
"211",2019-06-19,18,0,0,NA,NA,"EP"
"212",2019-06-19,19,0,0,NA,NA,"EP"
"213",2019-06-19,20,0,0,NA,NA,"EP"
"214",2019-06-19,21,0,0,NA,NA,"EP"
"215",2019-06-19,22,0,0,NA,NA,"EP"
"216",2019-06-19,23,0,0,NA,NA,"EP"
"217",2019-06-20,0,0,0,NA,NA,"EP"
"218",2019-06-20,1,0,0,NA,NA,"EP"
"219",2019-06-20,2,0,0,NA,NA,"EP"
"220",2019-06-20,3,0,0,NA,NA,"EP"
"221",2019-06-20,4,0,0,NA,NA,"EP"
"222",2019-06-20,5,0,0,NA,NA,"EP"
"223",2019-06-20,6,0,0,NA,NA,"EP"
"224",2019-06-20,7,0,0,NA,NA,"EP"
"225",2019-06-20,8,0,0,NA,NA,"EP"
"226",2019-06-20,9,0,0,NA,NA,"EP"
"227",2019-06-20,10,0,1,0,NA,"EP"
"228",2019-06-20,11,0,0,NA,NA,"EP"
"229",2019-06-20,12,0,0,NA,NA,"EP"
"230",2019-06-20,13,0,0,NA,NA,"EP"
"231",2019-06-20,14,0,0,NA,NA,"EP"
"232",2019-06-20,15,0,0,NA,NA,"EP"
"233",2019-06-20,16,0,0,NA,NA,"EP"
"234",2019-06-20,17,0,0,NA,NA,"EP"
"235",2019-06-20,18,0,0,NA,NA,"EP"
"236",2019-06-20,19,0,0,NA,NA,"EP"
"237",2019-06-20,20,0,0,NA,NA,"EP"
"238",2019-06-20,21,0,0,NA,NA,"EP"
"239",2019-06-20,22,0,0,NA,NA,"EP"
"240",2019-06-20,23,0,0,NA,NA,"EP"
"241",2019-06-21,0,0,0,NA,NA,"EP"
"242",2019-06-21,1,0,0,NA,NA,"EP"
"243",2019-06-21,2,0,0,NA,NA,"EP"
"244",2019-06-21,3,0,0,NA,NA,"EP"
"245",2019-06-21,4,0,0,NA,NA,"EP"
"246",2019-06-21,5,0,1,0,NA,"EP"
"247",2019-06-21,6,0,1,0,NA,"EP"
"248",2019-06-21,7,0,0,NA,NA,"EP"
"249",2019-06-21,8,0,0,NA,NA,"EP"
"250",2019-06-21,9,0,0,NA,NA,"EP"
"251",2019-06-21,10,0,0,NA,NA,"EP"
"252",2019-06-21,11,0,0,NA,NA,"EP"
"253",2019-06-21,12,0,0,NA,NA,"EP"
"254",2019-06-21,13,0,0,NA,NA,"EP"
"255",2019-06-21,14,0,0,NA,NA,"EP"
"256",2019-06-21,15,0,1,0,NA,"EP"
"257",2019-06-21,16,0,0,NA,NA,"EP"
"258",2019-06-21,17,0,0,NA,NA,"EP"
"259",2019-06-21,18,0,0,NA,NA,"EP"
"260",2019-06-21,19,0,0,NA,NA,"EP"
"261",2019-06-21,20,0,0,NA,NA,"EP"
"262",2019-06-21,21,0,0,NA,NA,"EP"
"263",2019-06-21,22,0,2,0,NA,"EP"
"264",2019-06-21,23,0,0,NA,NA,"EP"
"265",2019-06-22,0,0,0,NA,NA,"EP"
"266",2019-06-22,1,0,0,NA,NA,"EP"
"267",2019-06-22,2,0,0,NA,NA,"EP"
"268",2019-06-22,3,0,0,NA,NA,"EP"
"269",2019-06-22,4,0,0,NA,NA,"EP"
"270",2019-06-22,5,0,0,NA,NA,"EP"
"271",2019-06-22,6,0,0,NA,NA,"EP"
"272",2019-06-22,7,0,0,NA,NA,"EP"
"273",2019-06-22,8,0,0,NA,NA,"EP"
"274",2019-06-22,9,0,1,0,NA,"EP"
"275",2019-06-22,10,0,0,NA,NA,"EP"
"276",2019-06-22,11,0,0,NA,NA,"EP"
"277",2019-06-22,12,0,0,NA,NA,"EP"
"278",2019-06-22,13,0,0,NA,NA,"EP"
"279",2019-06-22,14,0,0,NA,NA,"EP"
"280",2019-06-22,15,0,0,NA,NA,"EP"
"281",2019-06-22,16,0,1,0,NA,"EP"
"282",2019-06-22,17,0,0,NA,NA,"EP"
"283",2019-06-22,18,0,0,NA,NA,"EP"
"284",2019-06-22,19,0,0,NA,NA,"EP"
"285",2019-06-22,20,0,0,NA,NA,"EP"
"286",2019-06-22,21,0,0,NA,NA,"EP"
"287",2019-06-22,22,0,0,NA,NA,"EP"
"288",2019-06-22,23,0,0,NA,NA,"EP"
"289",2019-06-23,0,0,0,NA,NA,"EP"
"290",2019-06-23,1,0,0,NA,NA,"EP"
"291",2019-06-23,2,0,0,NA,NA,"EP"
"292",2019-06-23,3,0,0,NA,NA,"EP"
"293",2019-06-23,4,0,0,NA,NA,"EP"
"294",2019-06-23,5,0,0,NA,NA,"EP"
"295",2019-06-23,6,0,0,NA,NA,"EP"
"296",2019-06-23,7,0,1,0,NA,"EP"
"297",2019-06-23,8,0,0,NA,NA,"EP"
"298",2019-06-23,9,0,0,NA,NA,"EP"
"299",2019-06-23,10,0,0,NA,NA,"EP"
"300",2019-06-23,11,0,0,NA,NA,"EP"
"301",2019-06-23,12,0,0,NA,NA,"EP"
"302",2019-06-23,13,0,0,NA,NA,"EP"
"303",2019-06-23,14,0,0,NA,NA,"EP"
"304",2019-06-23,15,0,0,NA,NA,"EP"
"305",2019-06-23,16,0,0,NA,NA,"EP"
"306",2019-06-23,17,0,0,NA,NA,"EP"
"307",2019-06-23,18,0,0,NA,NA,"EP"
"308",2019-06-23,19,0,0,NA,NA,"EP"
"309",2019-06-23,20,0,0,NA,NA,"EP"
"310",2019-06-23,21,0,0,NA,NA,"EP"
"311",2019-06-23,22,0,0,NA,NA,"EP"
"312",2019-06-23,23,0,0,NA,NA,"EP"
"313",2019-06-24,0,0,1,0,NA,"EP"
"314",2019-06-24,1,0,0,NA,NA,"EP"
"315",2019-06-24,2,0,0,NA,NA,"EP"
"316",2019-06-24,3,0,0,NA,NA,"EP"
"317",2019-06-24,4,0,1,0,NA,"EP"
"318",2019-06-24,5,0,0,NA,NA,"EP"
"319",2019-06-24,6,0,0,NA,NA,"EP"
"320",2019-06-24,7,0,0,NA,NA,"EP"
"321",2019-06-24,8,0,0,NA,NA,"EP"
"322",2019-06-24,9,0,0,NA,NA,"EP"
"323",2019-06-24,10,0,0,NA,NA,"EP"
"324",2019-06-24,11,0,0,NA,NA,"EP"
"325",2019-06-24,12,0,0,NA,NA,"EP"
"326",2019-06-24,13,0,0,NA,NA,"EP"
"327",2019-06-24,14,0,0,NA,NA,"EP"
"328",2019-06-24,15,0,0,NA,NA,"EP"
"329",2019-06-24,16,0,0,NA,NA,"EP"
"330",2019-06-24,17,0,0,NA,NA,"EP"
"331",2019-06-24,18,0,0,NA,NA,"EP"
"332",2019-06-24,19,0,0,NA,NA,"EP"
"333",2019-06-24,20,0,0,NA,NA,"EP"
"334",2019-06-24,21,0,0,NA,NA,"EP"
"335",2019-06-24,22,0,0,NA,NA,"EP"
"336",2019-06-24,23,0,0,NA,NA,"EP"
"337",2019-06-25,0,0,0,NA,NA,"EP"
"338",2019-06-25,1,0,0,NA,NA,"EP"
"339",2019-06-25,2,0,0,NA,NA,"EP"
"340",2019-06-25,3,0,0,NA,NA,"EP"
"341",2019-06-25,4,0,0,NA,NA,"EP"
"342",2019-06-25,5,0,0,NA,NA,"EP"
"343",2019-06-25,6,0,0,NA,NA,"EP"
"344",2019-06-25,7,0,0,NA,NA,"EP"
"345",2019-06-25,8,0,0,NA,NA,"EP"
"346",2019-06-25,9,0,0,NA,NA,"EP"
"347",2019-06-25,10,0,1,0,NA,"EP"
"348",2019-06-25,11,0,0,NA,NA,"EP"
"349",2019-06-25,12,0,0,NA,NA,"EP"
"350",2019-06-25,13,0,0,NA,NA,"EP"
"351",2019-06-25,14,0,0,NA,NA,"EP"
"352",2019-06-25,15,0,0,NA,NA,"EP"
"353",2019-06-25,16,0,0,NA,NA,"EP"
"354",2019-06-25,17,0,0,NA,NA,"EP"
"355",2019-06-25,18,0,0,NA,NA,"EP"
"356",2019-06-25,19,0,0,NA,NA,"EP"
"357",2019-06-25,20,0,0,NA,NA,"EP"
"358",2019-06-25,21,0,0,NA,NA,"EP"
"359",2019-06-25,22,0,0,NA,NA,"EP"
"360",2019-06-25,23,0,0,NA,NA,"EP"
"361",2019-06-26,0,0,0,NA,NA,"EP"
"362",2019-06-26,1,0,0,NA,NA,"EP"
"363",2019-06-26,2,0,0,NA,NA,"EP"
"364",2019-06-26,3,0,0,NA,NA,"EP"
"365",2019-06-26,4,0,0,NA,NA,"EP"
"366",2019-06-26,5,0,0,NA,NA,"EP"
"367",2019-06-26,6,0,0,NA,NA,"EP"
"368",2019-06-26,7,0,0,NA,NA,"EP"
"369",2019-06-26,8,0,0,NA,NA,"EP"
"370",2019-06-26,9,0,0,NA,NA,"EP"
