"","Filename","Date","Selection","used","pins_sm","pins_med","pins_lg","pins_ovrll","Dep_ID"
"77","805355546.180709024338_sel01_S1.wav","180709000000","S1",1,0.902173913043478,0,NA,0.542483660130719,"CGMP_201807_CG"
"78","805355546.180711024316_sel08_S1.wav","180711000000","S1",1,1,0.186046511627907,NA,0.556962025316456,"CGMP_201807_CG"
"79","805355546.180711024316_sel35_S19.wav","180711000000","S19",1,0.976744186046512,0,NA,0.545454545454545,"CGMP_201807_CG"
"80","805355546.180711024316_sel38_S22.wav","180711000000","S22",1,1,0.263157894736842,NA,0.5625,"CGMP_201807_CG"
"81","805355546.180711024316_sel44_S25.wav","180711000000","S25",1,0.660714285714286,0,NA,0.513888888888889,"CGMP_201807_CG"
"82","805355546.180713024252_sel02_S4.wav","180713000000","S4",1,0.615384615384615,0,NA,0.507042253521127,"CGMP_201807_CG"
"83","805355546.180713024252_sel05_S5.wav","180713000000","S5",1,0.675675675675676,0,NA,0.517241379310345,"CGMP_201807_CG"
"84","805355546.180715024234_sel31_S12.wav","180715000000","S12",1,0.712962962962963,0,NA,0.523809523809524,"CGMP_201807_CG"
"85","805355546.180715024234_sel34_S14.wav","180715000000","S14",1,0.5078125,0,NA,0.481481481481481,"CGMP_201807_CG"
"86","805355546.180715024234_sel40_S16.wav","180715000000","S16",1,0.943820224719101,0,NA,0.545454545454545,"CGMP_201807_CG"
"87","805355546.180715024234_sel49_S18.wav","180715000000","S18",1,0.660714285714286,0,NA,0.513888888888889,"CGMP_201807_CG"
"88","805355546.180715024234_sel07_S2.wav","180715000000","S2",1,0.89247311827957,0,NA,0.542483660130719,"CGMP_201807_CG"
"89","805355546.180715024234_sel62_S20.wav","180715000000","S20",1,1,0.285714285714286,NA,0.565217391304348,"CGMP_201807_CG"
"90","805355546.180715024234_sel75_S23.wav","180715000000","S23",1,0.528,0,NA,0.485294117647059,"CGMP_201807_CG"
"91","805355546.180715024234_sel81_S24.wav","180715000000","S24",1,0.596638655462185,0,NA,0.50354609929078,"CGMP_201807_CG"
"92","805355546.180715024234_sel83_S33.wav","180715000000","S33",1,0.626086956521739,0,NA,0.507042253521127,"CGMP_201807_CG"
"93","805355546.180715024234_sel87_S34.wav","180715000000","S34",1,0.766990291262136,0,NA,0.530201342281879,"CGMP_201807_CG"
"94","805355546.180715024234_sel09_S4.wav","180715000000","S4",1,0.977011494252874,0,NA,0.548387096774194,"CGMP_201807_CG"
"95","805355546.180715024234_sel15_S7.wav","180715000000","S7",1,0.976744186046512,0,NA,0.545454545454545,"CGMP_201807_CG"
"96","805355546.180715024234_sel25_S8.wav","180715000000","S8",1,0.606837606837607,0,NA,0.50354609929078,"CGMP_201807_CG"
"97","805355546.180717024218_sel03_S1.wav","180717000000","S1",1,1,0.0410958904109589,NA,0.551282051282051,"CGMP_201807_CG"
"98","805355546.180717024218_sel21_S11.wav","180717000000","S11",1,0.712962962962963,0,NA,0.523809523809524,"CGMP_201807_CG"
"99","805355546.180717024218_sel30_S15.wav","180717000000","S15",1,0.688073394495413,0,NA,0.517241379310345,"CGMP_201807_CG"
"100","805355546.180717024218_sel35_S23.wav","180717000000","S23",1,0.570247933884298,0,NA,0.496402877697842,"CGMP_201807_CG"
"101","805355546.180717024218_sel36_S24.wav","180717000000","S24",1,0.511811023622047,0,NA,0.481481481481481,"CGMP_201807_CG"
"102","805355546.180717024218_sel07_S3.wav","180717000000","S3",1,0.548387096774194,0,NA,0.492753623188406,"CGMP_201807_CG"
"103","805355546.180717024218_sel18_S4.wav","180717000000","S4",1,1,0.385964912280702,NA,0.570552147239264,"CGMP_201807_CG"
"104","805355546.180719024201_sel18_S15.wav","180719000000","S15",1,0.872340425531915,0,NA,0.539473684210526,"CGMP_201807_CG"
"105","805355546.180719024201_sel01_S4.wav","180719000000","S4",1,0.588235294117647,0,NA,0.5,"CGMP_201807_CG"
"106","805355546.180719024201_sel06_S6.wav","180719000000","S6",1,0.912087912087912,0,NA,0.542483660130719,"CGMP_201807_CG"
"107","805355546.180719024201_sel09_S7.wav","180719000000","S7",1,1,0.113924050632911,NA,0.554140127388535,"CGMP_201807_CG"
"108","805355546.180721024142_sel06_S1.wav","180721000000","S1",1,0.610169491525424,0,NA,0.507042253521127,"CGMP_201807_CG"
