"","Begin_Date","Begin_Hour","Transit","Notes","SiteID"
"180",2020-02-15,11,0,NA,"MRE"
"181",2020-02-15,12,0,NA,"MRE"
"182",2020-02-15,13,0,NA,"MRE"
"183",2020-02-15,14,0,NA,"MRE"
"184",2020-02-15,15,0,NA,"MRE"
"185",2020-02-15,16,0,NA,"MRE"
"186",2020-02-15,17,0,NA,"MRE"
"187",2020-02-15,18,0,NA,"MRE"
"188",2020-02-15,19,0,NA,"MRE"
"189",2020-02-15,20,0,NA,"MRE"
"190",2020-02-15,21,0,NA,"MRE"
"191",2020-02-15,22,0,NA,"MRE"
"192",2020-02-15,23,0,NA,"MRE"
"193",2020-02-16,0,0,NA,"MRE"
"194",2020-02-16,1,0,NA,"MRE"
"195",2020-02-16,2,0,NA,"MRE"
"196",2020-02-16,3,0,NA,"MRE"
"197",2020-02-16,4,0,NA,"MRE"
"198",2020-02-16,5,0,NA,"MRE"
"199",2020-02-16,6,0,NA,"MRE"
"200",2020-02-16,7,0,NA,"MRE"
"201",2020-02-16,8,0,NA,"MRE"
"202",2020-02-16,9,0,NA,"MRE"
"203",2020-02-16,10,0,NA,"MRE"
"204",2020-02-16,11,0,NA,"MRE"
"205",2020-02-16,12,0,NA,"MRE"
"206",2020-02-16,13,0,NA,"MRE"
"207",2020-02-16,14,0,NA,"MRE"
"208",2020-02-16,15,0,NA,"MRE"
"209",2020-02-16,16,0,NA,"MRE"
"210",2020-02-16,17,0,NA,"MRE"
"211",2020-02-16,18,0,NA,"MRE"
"212",2020-02-16,19,0,NA,"MRE"
"213",2020-02-16,20,0,NA,"MRE"
"214",2020-02-16,21,0,NA,"MRE"
"215",2020-02-16,22,0,NA,"MRE"
"216",2020-02-16,23,0,NA,"MRE"
"217",2020-02-17,0,0,NA,"MRE"
"218",2020-02-17,1,0,NA,"MRE"
"219",2020-02-17,2,0,NA,"MRE"
"220",2020-02-17,3,0,NA,"MRE"
"221",2020-02-17,4,0,NA,"MRE"
"222",2020-02-17,5,0,NA,"MRE"
"223",2020-02-17,6,0,NA,"MRE"
