"Selection" "View" "Channel" "Begin_Time" "End_Time" "Low_Freq" "High_Freq" "Begin_Date" "Begin_Clock" "End_Clock" "Delta_Time_s" "Behavior" "Notes" "Begin_file_date"
13 "Spectrogram 1" 1 34510.582726685 34608.712211731 1449.7 2071 "2018/8/14" "11:26:30.5827" "11:28:08.7122" 98.1295 "DTransit" "" 2018-08-14
14 "Spectrogram 1" 1 37708.999997685 38671.215826156 0 9970.4 "2018/8/14" "12:19:48.0000" "12:35:50.2158" 962.2158 "Maneuver+CPA" "" 2018-08-14
15 "Spectrogram 1" 1 39349.288908744 39386.2086125 1434.263 1932.271 "2018/8/14" "12:47:08.2889" "12:47:45.2086" 36.9197 "DTransit" "" 2018-08-14
16 "Spectrogram 1" 1 39602.568343175 39655.086322708 1094.7 1775.1 "2018/8/14" "12:51:22.5683" "12:52:14.0863" 52.518 "DTransit" "" 2018-08-14
17 "Spectrogram 1" 1 41422.985604916 41577.503591394 887.6 5621.3 "2018/8/14" "13:21:42.9856" "13:24:16.5036" 154.518 "DTransit" "" 2018-08-14
18 "Spectrogram 1" 1 45912.510790151 47882.194241174 680.5 2189.3 "2018/8/14" "14:36:30.5108" "15:09:20.1942" 1969.6835 "DTransit" "on/off" 2018-08-14
1 "Spectrogram 1" 1 1334.992801242 3415.683432904 443.8 3284 "2018/8/15" "2:09:45.9928" "2:44:26.6834" 2080.6906 "DTransit" "on/off" 2018-08-15
2 "Spectrogram 1" 1 21506.086314315 22364.431632461 1213 1745.6 "2018/8/15" "7:45:56.0863" "8:00:15.4316" 858.3453 "DTransit" "on/off" 2018-08-15
3 "Spectrogram 1" 1 22880.77697144 24469.482020817 650.9 2366.9 "2018/8/15" "8:08:51.7770" "8:35:20.4820" 1588.705 "DTransit" "on/off" 2018-08-15
4 "Spectrogram 1" 1 27783.151077038 28611.568341094 621.3 3343.2 "2018/8/15" "9:30:33.1511" "9:44:22.5683" 828.4173 "DTransit" "" 2018-08-15
5 "Spectrogram 1" 1 66080.33092561 69027.122296846 473.4 2218.9 "2018/8/15" "20:08:48.3309" "20:57:55.1223" 2946.7914 "CTransit" "" 2018-08-15
6 "Spectrogram 1" 1 79916.446033173 80626.172636924 739.6 2633.1 "2018/8/15" "23:59:24.4460" "0:11:14.1726" 709.7266 "DTransit" "" 2018-08-15
7 "Spectrogram 1" 1 8231.751821837 8480.861300806 557.769 1812.749 "2018/8/15" "4:04:42.7518" "4:08:51.8613" 249.1095 "DTransit" "" 2018-08-15
1 "Spectrogram 1" 1 25391.568331485 25662.043157824 0 3727.8 "2018/8/16" "8:44:48.5683" "8:49:18.0432" 270.4748 "DTransit" "" 2018-08-16
2 "Spectrogram 1" 1 26578.647480782 26634.47481245 1127.6 1691.4 "2018/8/16" "9:04:35.6475" "9:05:30.4748" 55.8273 "DTransit" "" 2018-08-16
