Site_ID,Begin_Date,Weekday,Begin_hour,CPA,CPA_M,TA,TA_M,TB,Low_baleen,Humpback,Mid_baleen,Dolphin,Fish_chorus,SnappingShrimp,Notes
EP,6/20/2019,Thursday,11,0,0,0,0,0,0,0,0,0,0,0,
EP,6/20/2019,Thursday,12,0,0,0,0,0,0,0,0,0,0,0,
EP,6/20/2019,Thursday,13,0,0,0,0,0,0,0,0,0,0,0,
EP,6/20/2019,Thursday,14,0,0,0,0,0,0,0,0,0,0,0,
EP,6/20/2019,Thursday,15,0,0,0,0,0,0,0,0,0,0,0,
EP,6/20/2019,Thursday,16,0,0,0,0,0,0,0,0,0,0,0,
EP,6/20/2019,Thursday,17,0,0,0,0,0,0,0,0,0,0,0,
EP,6/20/2019,Thursday,18,0,0,0,0,0,0,0,0,0,0,0,
EP,6/20/2019,Thursday,19,0,0,0,0,0,0,0,0,0,0,0,
EP,6/20/2019,Thursday,20,0,0,0,0,0,0,0,0,0,0,0,
EP,6/20/2019,Thursday,21,0,0,0,0,0,0,0,0,0,0,0,
EP,6/20/2019,Thursday,22,0,0,0,0,0,0,0,0,0,0,0,
EP,6/20/2019,Thursday,23,0,0,0,0,0,0,0,0,0,0,0,
EP,6/21/2019,Friday,0,0,0,0,0,0,0,0,0,0,0,0,
EP,6/21/2019,Friday,1,0,0,0,0,0,0,0,0,0,0,0,
EP,6/21/2019,Friday,2,0,0,0,0,0,0,0,0,0,0,0,
EP,6/21/2019,Friday,3,0,0,0,0,0,0,0,0,0,0,0,
EP,6/21/2019,Friday,4,0,0,0,0,0,0,0,0,0,0,0,
EP,6/21/2019,Friday,5,0,0,0,0,1,0,0,0,0,0,0,
EP,6/21/2019,Friday,6,0,0,0,0,1,0,0,0,0,0,0,
EP,6/21/2019,Friday,7,0,0,0,0,0,0,0,0,0,0,0,
EP,6/21/2019,Friday,8,0,0,0,0,0,0,0,0,0,0,0,
EP,6/21/2019,Friday,9,0,0,0,0,0,0,0,0,0,0,0,
EP,6/21/2019,Friday,10,0,0,0,0,0,0,0,0,0,0,0,
