SiteID,Begin_Date,Weekday,Begin_hour,CPA,CPA_M,TA,TA_M,TB,PresentTotal,Low_baleen,Humpback,Mid_baleen,Dolphin,Fish_chorus,SnappingShrimp,Notes,ExtraNotes
Cod Grounds,4/24/2019,Wednesday,23,0,0,0,0,0,0,0,0,0,0,0,1,, LF p;  LF p
Cod Grounds,4/25/2019,Thursday,0,0,0,0,0,0,0,0,0,0,0,0,1,,
Cod Grounds,4/25/2019,Thursday,1,0,0,0,0,0,0,0,0,0,0,0,1,, LF p
Cod Grounds,4/25/2019,Thursday,2,0,0,0,0,0,0,0,0,0,0,0,1,, LF p
Cod Grounds,4/25/2019,Thursday,3,0,0,0,0,0,0,0,0,0,0,0,1,,
Cod Grounds,4/25/2019,Thursday,4,0,0,0,0,0,0,0,0,0,0,0,1,,
Cod Grounds,4/25/2019,Thursday,5,0,0,0,0,1,1,0,0,0,0,0,1,, LF p
Cod Grounds,4/25/2019,Thursday,6,0,0,1,1,0,1,0,0,0,0,0,1,, LF p
Cod Grounds,4/25/2019,Thursday,7,0,0,1,0,0,1,0,0,0,0,0,1,, LF p
Cod Grounds,4/25/2019,Thursday,8,0,0,0,0,2,1,0,0,0,0,0,1,, LF p
Cod Grounds,4/25/2019,Thursday,9,0,0,1,1,0,1,0,0,0,0,0,1,could be same as previous vessel,
Cod Grounds,4/25/2019,Thursday,10,0,0,0,0,1,1,0,0,0,0,0,1,,
Cod Grounds,4/25/2019,Thursday,11,0,0,0,0,1,1,0,0,0,0,0,1,, LF p
Cod Grounds,4/25/2019,Thursday,12,0,0,0,1,0,1,0,0,0,0,0,1,, LF p
Cod Grounds,4/25/2019,Thursday,13,1,0,0,0,1,1,0,0,0,0,0,1,,
Cod Grounds,4/25/2019,Thursday,14,0,0,0,1,0,1,0,0,0,0,0,1,, LF p
Cod Grounds,4/25/2019,Thursday,15,0,0,0,0,0,0,0,0,0,0,0,1,,
Cod Grounds,4/25/2019,Thursday,16,0,0,0,0,0,0,0,0,0,0,1,1,, LF p
Cod Grounds,4/25/2019,Thursday,17,0,0,0,0,0,0,0,0,0,0,1,1,,
Cod Grounds,4/25/2019,Thursday,18,0,0,0,0,0,0,0,0,0,0,1,1,, LF p
