SiteID,Begin_Date,Weekday,Begin_hour,CPA,CPA_M,TA,TA_M,TB,PresentTotal,Low_baleen,Humpback,Mid_baleen,Dolphin,Fish_chorus,SnappingShrimp,Notes,ExtraNotes
NGN,9/27/2019,Friday,18,,,,,,,0,1,0,0,0,1,, lf pulse
NGN,9/27/2019,Friday,19,,,,,,,0,1,0,0,0,1,, LF pulses
NGN,9/27/2019,Friday,20,,,,,,,0,1,0,0,0,1,, LF long ;  LF pulse
NGN,9/27/2019,Friday,21,,,,,,,0,1,0,0,0,1,, LF pulses
NGN,9/27/2019,Friday,22,,,,,,,0,1,0,0,0,1,, LF pulses
NGN,9/27/2019,Friday,23,,,,,,,0,1,0,1,0,1,,mn song faint; dol w LOUD
NGN,9/28/2019,Saturday,0,0,0,0,0,0,0,0,1,0,0,0,1,, LF pulses;  ?
NGN,9/28/2019,Saturday,1,0,0,0,0,0,0,0,1,0,0,0,1,,
NGN,9/28/2019,Saturday,2,0,0,0,0,0,0,0,1,0,0,0,1,, LF pulses
NGN,9/28/2019,Saturday,3,0,0,0,0,0,0,0,1,0,0,0,1,, LF pulses
NGN,9/28/2019,Saturday,4,0,0,0,0,0,0,0,1,0,0,0,1,, LF pulses
NGN,9/28/2019,Saturday,5,0,0,0,0,0,0,0,1,0,0,0,1,, LF pulses
NGN,9/28/2019,Saturday,6,0,0,0,0,0,0,0,1,0,0,0,1,, LF pulses
NGN,9/28/2019,Saturday,7,0,0,0,0,0,0,0,1,0,1,0,1,, LF pulses; dol w faint
NGN,9/28/2019,Saturday,8,0,0,0,0,0,0,0,1,0,0,0,1,, LF pulses
NGN,9/28/2019,Saturday,9,0,0,0,0,0,0,0,1,0,0,0,1,,
NGN,9/28/2019,Saturday,10,0,0,0,0,0,0,0,1,0,0,0,1,, LF pulses
NGN,9/28/2019,Saturday,11,0,0,0,0,1,1,0,1,0,0,1,1,"TB, faint, right at 500Hz, lots of masking",
NGN,9/28/2019,Saturday,12,0,0,0,0,0,0,0,1,0,0,1,1,, LF pulses
NGN,9/28/2019,Saturday,13,0,0,0,0,0,0,0,1,0,0,0,1,,fish p faint
NGN,9/28/2019,Saturday,14,0,0,0,0,0,0,0,1,0,0,0,1,,
NGN,9/28/2019,Saturday,15,0,0,0,0,0,0,0,1,0,0,0,1,,
NGN,9/28/2019,Saturday,16,0,0,0,0,0,0,0,1,0,0,0,1,,
NGN,9/28/2019,Saturday,17,0,0,0,0,0,0,0,1,0,0,0,1,, LF pulses
NGN,9/28/2019,Saturday,18,0,0,0,0,0,0,0,1,0,0,0,1,,
NGN,9/28/2019,Saturday,19,0,0,0,0,0,0,0,1,0,0,0,1,,fish p louder
NGN,9/28/2019,Saturday,20,0,0,0,0,0,0,0,1,0,0,0,1,,
NGN,9/28/2019,Saturday,21,0,0,0,0,0,0,0,1,0,0,0,1,,
NGN,9/28/2019,Saturday,22,0,0,0,0,0,0,0,1,0,0,0,1,,fish p faint; mn song faint; fish p loud
NGN,9/28/2019,Saturday,23,0,0,0,0,0,0,0,1,0,0,0,1,,mn song faint
NGN,9/29/2019,Sunday,0,0,0,0,0,0,0,0,1,0,0,0,1,, LF pulses; mn social ??
NGN,9/29/2019,Sunday,1,0,0,0,0,0,0,0,1,0,0,0,1,,
NGN,9/29/2019,Sunday,2,0,0,0,0,0,0,0,1,0,0,0,1,,
NGN,9/29/2019,Sunday,3,0,0,0,0,0,0,0,1,0,0,0,1,,
NGN,9/29/2019,Sunday,4,0,0,0,0,0,0,0,1,0,0,0,1,,mn song faint
