SiteID,Begin_Date,Weekday,Begin_hour,TR,M,PresentTotal,Low_baleen,Humpback,Mid_baleen,Dolphin,Fish_chorus,SnappingShrimp,Notes
JNE,1/14/22,Friday,11,0,1,0,0,0,0,0,0,0,
JNE,1/14/22,Friday,12,0,0,0,0,0,0,0,0,0,
JNE,1/14/22,Friday,13,0,0,0,0,0,0,0,0,0,wavy band 1050 hz
JNE,1/14/22,Friday,14,0,0,0,0,0,0,0,0,0,
JNE,1/14/22,Friday,15,0,0,0,0,0,0,0,0,0,
JNE,1/14/22,Friday,16,0,0,0,0,0,0,0,0,0,
JNE,1/14/22,Friday,17,1,0,0,0,0,0,0,0,0,
JNE,1/14/22,Friday,18,0,0,0,0,0,0,0,0,0,
JNE,1/14/22,Friday,19,0,0,0,0,0,0,0,0,0,
JNE,1/14/22,Friday,20,0,0,0,0,0,0,0,0,0,
JNE,1/14/22,Friday,21,0,1,0,0,0,0,0,0,0,
JNE,1/14/22,Friday,22,0,0,0,0,0,0,0,0,0,
JNE,1/14/22,Friday,23,0,0,0,0,0,0,0,0,0,LTSA
JNE,1/15/22,Saturday,0,0,0,0,0,0,0,0,0,0,
JNE,1/15/22,Saturday,1,0,0,0,0,0,0,0,0,0,
JNE,1/15/22,Saturday,2,0,0,0,0,0,0,0,0,0,
JNE,1/15/22,Saturday,3,0,0,0,0,0,0,0,0,0,
JNE,1/15/22,Saturday,4,1,0,0,0,0,0,0,0,0,
JNE,1/15/22,Saturday,5,0,0,0,0,0,0,0,0,0,
JNE,1/15/22,Saturday,6,0,0,0,0,0,0,0,0,0,
JNE,1/15/22,Saturday,7,0,2,0,0,0,0,0,0,0,
JNE,1/15/22,Saturday,8,0,1,0,0,0,0,0,0,0,
JNE,1/15/22,Saturday,9,0,1,0,0,0,0,0,0,0,
JNE,1/15/22,Saturday,10,0,1,0,0,0,0,0,0,0,
JNE,1/15/22,Saturday,11,0,0,0,0,0,0,0,0,0,
JNE,1/15/22,Saturday,12,0,0,0,0,0,0,0,0,0,
JNE,1/15/22,Saturday,13,0,0,0,0,0,0,0,0,0,
JNE,1/15/22,Saturday,14,0,0,0,0,0,0,0,0,0,
JNE,1/15/22,Saturday,15,0,0,0,0,0,0,0,0,0,
JNE,1/15/22,Saturday,16,0,1,0,0,0,0,0,0,0,
JNE,1/15/22,Saturday,17,0,0,0,0,0,0,0,0,0,
JNE,1/15/22,Saturday,18,0,0,0,0,0,0,0,0,0,
JNE,1/15/22,Saturday,19,0,0,0,0,0,0,0,0,0,
JNE,1/15/22,Saturday,20,0,0,0,0,0,0,0,0,0,
JNE,1/15/22,Saturday,21,0,0,0,0,0,0,0,0,0,
JNE,1/15/22,Saturday,22,0,0,0,0,0,0,0,0,0,
