network,npz_id,Site_ID,Dep,Weekday,Total_ves_dep,Total_inside,Total_inside_small,Inside_maneuver,Inside_maneuver_small,Inside_transit,Inside_transit_small
Temperate East,SIMP,WP,SIMP_201808_WP,Su,28,1,1,1,1,0,0
Temperate East,SIMP,WP,SIMP_201808_WP,R,51,8,18,0,4,8,14
Temperate East,SIMP,WP,SIMP_201808_WP,T,25,3,6,1,1,2,5
Temperate East,SIMP,WP,SIMP_201808_WP,W,50,3,10,0,5,3,5
Temperate East,SIMP,WP,SIMP_201812_WP,F,31,0,6,0,2,0,4
Temperate East,SIMP,WP,SIMP_201812_WP,M,28,3,12,3,6,0,6
Temperate East,SIMP,WP,SIMP_201812_WP,Sa,34,1,9,1,4,0,5
Temperate East,SIMP,WP,SIMP_201812_WP,Su,27,1,8,1,5,0,3
Temperate East,SIMP,WP,SIMP_201812_WP,R,34,0,7,0,3,0,4
Temperate East,SIMP,WP,SIMP_201812_WP,T,32,2,9,2,5,0,4
Temperate East,SIMP,WP,SIMP_201812_WP,W,35,3,9,1,4,2,5
Temperate East,SIMP,WP,SIMP_201906_WP,F,16,3,6,3,5,0,1
Temperate East,SIMP,WP,SIMP_201906_WP,M,41,2,14,2,9,0,5
Temperate East,SIMP,WP,SIMP_201906_WP,Sa,54,10,30,10,22,0,8
Temperate East,SIMP,WP,SIMP_201906_WP,Su,37,5,16,5,13,0,3
Temperate East,SIMP,WP,SIMP_201906_WP,R,22,11,17,10,12,1,5
Temperate East,SIMP,WP,SIMP_201906_WP,T,46,1,16,0,6,1,10
Temperate East,SIMP,WP,SIMP_201906_WP,W,31,2,13,2,7,0,6
