term,contrast,null.value,estimate,conf.low,conf.high,adj.p.value
npz_dep:Weekday,MMP202002:Sa-JMP202201:M,0,-4.028163265306261,-7.601977721885373,-0.4543488087271488,0.008076887523694953
npz_dep:Weekday,MMP202002:Su-JMP202201:M,0,-4.027210884353883,-7.627653384691643,-0.42676838401612294,0.009231546576319194
npz_dep:Weekday,TRMP202105:M-MMP202002:M,0,6.326583850931712,3.23329542717477,9.419872274688654,5.142022363457954e-10
npz_dep:Weekday,GMP202201:T-MMP202002:M,0,5.4476827520305715,1.732763518409218,9.162601985651925,1.558145627000851e-5
npz_dep:Weekday,JMP202201:T-MMP202002:M,0,4.026175687666406,0.3970112535654402,7.655340121767372,0.0106232281123112
npz_dep:Weekday,SWCMP202201:T-MMP202002:M,0,3.856107660455549,0.14118842683419563,7.571026894076903,0.03004539318024957
npz_dep:Weekday,TRMP202105:T-MMP202002:M,0,6.591226708074581,3.467211711194241,9.71524170495492,5.0496995473992e-10
npz_dep:Weekday,GMP202201:W-MMP202002:M,0,6.6322981366459945,2.917378903024641,10.347217370267348,1.0867539756986844e-8
npz_dep:Weekday,JMP202201:W-MMP202002:M,0,3.9197981366459516,0.4344825048788157,7.405113768413088,0.008394305015419046
npz_dep:Weekday,SWCMP202201:W-MMP202002:M,0,4.0961870255349275,0.28365762822565177,7.908716422844203,0.0179154143517829
npz_dep:Weekday,TRMP202105:W-MMP202002:M,0,6.8571428571429,3.7000685798668282,10.014217134418972,5.034227479328024e-10
npz_dep:Weekday,GMP202201:Th-MMP202002:M,0,6.632298136646035,2.917378903024682,10.347217370267389,1.0867539756986844e-8
npz_dep:Weekday,JMP202201:Th-MMP202002:M,0,3.919798136645947,0.43448250487881124,7.4051137684130826,0.008394305015419712
npz_dep:Weekday,SWCMP202201:Th-MMP202002:M,0,4.096187025534922,0.28365762822564644,7.908716422844198,0.01791541435178401
npz_dep:Weekday,TRMP202105:Th-MMP202002:M,0,6.8571428571429,3.7000685798668282,10.014217134418972,5.034227479328024e-10
npz_dep:Weekday,GMP202201:F-MMP202002:M,0,6.632298136646035,2.917378903024682,10.347217370267389,1.0867539756986844e-8
npz_dep:Weekday,JMP202201:F-MMP202002:M,0,3.919798136645958,0.43448250487882234,7.405113768413094,0.008394305015418158
npz_dep:Weekday,SWCMP202201:F-MMP202002:M,0,4.0961870255349275,0.28365762822565177,7.908716422844203,0.0179154143517829
npz_dep:Weekday,TRMP202105:F-MMP202002:M,0,6.857142857142906,3.7000685798668336,10.014217134418978,5.034227479328024e-10
