term,contrast,null.value,estimate,conf.low,conf.high,adj.p.value
npz_dep:Weekday,DMP202009:Th-NMP201909:T,0,2.1848214285714196,0.8572815636886948,3.5123612934541444,6.321984183044194e-6
npz_dep:Weekday,DMP202009:F-NMP201909:T,0,2.184821428571423,0.8572815636886983,3.512361293454148,6.321984183044194e-6
npz_dep:Weekday,DMP202009:Sa-NMP201909:T,0,2.184821428571415,0.8572815636886904,3.51236129345414,6.321984183044194e-6
npz_dep:Weekday,DMP202009:Su-NMP201909:T,0,2.1848214285714187,0.8572815636886939,3.5123612934541435,6.321984183044194e-6
npz_dep:Weekday,NMP201909:W-DMP202009:W,0,-2.016137566137557,-3.285295181490133,-0.7469799507849806,1.6419387109722905e-5
npz_dep:Weekday,NMP201909:Th-DMP202009:W,0,-2.016137566137557,-3.285295181490133,-0.7469799507849806,1.6419387109722905e-5
npz_dep:Weekday,NMP201909:F-DMP202009:W,0,-2.016137566137558,-3.285295181490134,-0.7469799507849815,1.6419387109722905e-5
npz_dep:Weekday,NMP201909:Sa-DMP202009:W,0,-2.0161375661375573,-3.2852951814901337,-0.746979950784981,1.6419387109722905e-5
npz_dep:Weekday,NMP201909:Su-DMP202009:W,0,-2.016137566137558,-3.285295181490134,-0.7469799507849815,1.6419387109722905e-5
npz_dep:Weekday,DMP202009:Th-NMP201909:W,0,2.141964285714277,0.8360118735794331,3.447916697849121,6.9503936104275965e-6
npz_dep:Weekday,DMP202009:F-NMP201909:W,0,2.1419642857142795,0.8360118735794357,3.4479166978491236,6.9503936104275965e-6
npz_dep:Weekday,DMP202009:Sa-NMP201909:W,0,2.1419642857142724,0.8360118735794286,3.4479166978491165,6.950393610205552e-6
npz_dep:Weekday,DMP202009:Su-NMP201909:W,0,2.141964285714275,0.8360118735794313,3.447916697849119,6.9503936104275965e-6
npz_dep:Weekday,NMP201909:Th-DMP202009:Th,0,-2.1419642857142764,-3.44791669784912,-0.8360118735794326,6.9503936104275965e-6
npz_dep:Weekday,NMP201909:F-DMP202009:Th,0,-2.141964285714277,-3.447916697849121,-0.8360118735794331,6.9503936104275965e-6
npz_dep:Weekday,NMP201909:Sa-DMP202009:Th,0,-2.141964285714277,-3.447916697849121,-0.8360118735794331,6.9503936104275965e-6
npz_dep:Weekday,NMP201909:Su-DMP202009:Th,0,-2.141964285714277,-3.447916697849121,-0.8360118735794331,6.9503936104275965e-6
npz_dep:Weekday,DMP202009:F-NMP201909:Th,0,2.1419642857142795,0.8360118735794357,3.4479166978491236,6.9503936104275965e-6
npz_dep:Weekday,DMP202009:Sa-NMP201909:Th,0,2.141964285714272,0.8360118735794282,3.4479166978491156,6.950393610205552e-6
npz_dep:Weekday,DMP202009:Su-NMP201909:Th,0,2.141964285714275,0.8360118735794313,3.447916697849119,6.9503936104275965e-6
npz_dep:Weekday,NMP201909:F-DMP202009:F,0,-2.1419642857142804,-3.4479166978491245,-0.8360118735794366,6.9503936104275965e-6
npz_dep:Weekday,NMP201909:Sa-DMP202009:F,0,-2.14196428571428,-3.4479166978491236,-0.8360118735794362,6.9503936104275965e-6
npz_dep:Weekday,NMP201909:Su-DMP202009:F,0,-2.1419642857142804,-3.4479166978491245,-0.8360118735794366,6.9503936104275965e-6
npz_dep:Weekday,DMP202009:Sa-NMP201909:F,0,2.1419642857142724,0.8360118735794286,3.4479166978491165,6.950393610205552e-6
