Site_ID,ves_yn,network,npz_id,Dep,Date_week,n_hours,name,Perc_per_hour
DSW,Y,Northwest,DMP,DAMPIER_202009_DSW,2025-09-16,23,freq,0.1885245901639344
DSW,Y,Northwest,DMP,DAMPIER_202009_DSW,2025-09-23,21,freq,0.125
DSW,Y,Northwest,DMP,DAMPIER_202009_DSW,2025-09-30,38,freq,0.2261904761904762
DSW,Y,Northwest,DMP,DAMPIER_202009_DSW,2025-10-07,28,freq,0.16666666666666666
DSW,Y,Northwest,DMP,DAMPIER_202009_DSW,2025-10-14,28,freq,0.16666666666666666
DSW,Y,Northwest,DMP,DAMPIER_202009_DSW,2025-10-21,25,freq,0.1488095238095238
DSW,Y,Northwest,DMP,DAMPIER_202009_DSW,2025-10-28,22,freq,0.13095238095238096
DSW,Y,Northwest,DMP,DAMPIER_202009_DSW,2025-11-04,19,freq,0.1130952380952381
DSW,Y,Northwest,DMP,DAMPIER_202009_DSW,2025-11-11,10,freq,0.14285714285714285
EP,N,Temperate East,SIMP,SIMP_201808_EP,2025-08-12,53,freq,0.7361111111111112
EP,N,Temperate East,SIMP,SIMP_201808_EP,2025-08-19,132,freq,0.7857142857142857
EP,N,Temperate East,SIMP,SIMP_201808_EP,2025-08-26,150,freq,0.8928571428571429
EP,N,Temperate East,SIMP,SIMP_201808_EP,2025-09-02,130,freq,0.7738095238095238
EP,N,Temperate East,SIMP,SIMP_201808_EP,2025-09-09,142,freq,0.8452380952380952
EP,N,Temperate East,SIMP,SIMP_201808_EP,2025-09-16,67,freq,0.9305555555555556
EP,N,Temperate East,SIMP,SIMP_201812_EP,2025-01-08,134,freq,0.7976190476190477
EP,N,Temperate East,SIMP,SIMP_201812_EP,2025-01-15,113,freq,0.6726190476190477
EP,N,Temperate East,SIMP,SIMP_201812_EP,2025-01-22,30,freq,0.625
EP,N,Temperate East,SIMP,SIMP_201812_EP,2025-12-16,114,freq,0.95
EP,N,Temperate East,SIMP,SIMP_201812_EP,2025-12-23,157,freq,0.9345238095238095
EP,N,Temperate East,SIMP,SIMP_201812_EP,2025-12-30,136,freq,0.8095238095238095
EP,N,Temperate East,SIMP,SIMP_201906_EP,2025-06-17,107,freq,0.7430555555555556
EP,N,Temperate East,SIMP,SIMP_201906_EP,2025-06-24,157,freq,0.9345238095238095
EP,N,Temperate East,SIMP,SIMP_201906_EP,2025-07-01,154,freq,0.9166666666666666
EP,Y,Temperate East,SIMP,SIMP_201808_EP,2025-08-12,19,freq,0.2638888888888889
EP,Y,Temperate East,SIMP,SIMP_201808_EP,2025-08-19,36,freq,0.21428571428571427
EP,Y,Temperate East,SIMP,SIMP_201808_EP,2025-08-26,18,freq,0.10714285714285714
EP,Y,Temperate East,SIMP,SIMP_201808_EP,2025-09-02,38,freq,0.2261904761904762
EP,Y,Temperate East,SIMP,SIMP_201808_EP,2025-09-09,26,freq,0.15476190476190477
