network,npz_id,Site_ID,Dep,Week,Date_week,Date_noyr,n_days,Total_ves_dep,Total_inside_ves_dep,Total_inside_ves_small
Northwest,NMP,NGN,NINGALOO_201909_NGN,41,2025-10-14,2000-10-07,1,1,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,41,2025-10-14,2000-10-08,1,2,0,1
Northwest,NMP,NGN,NINGALOO_201909_NGN,41,2025-10-14,2000-10-09,1,1,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,41,2025-10-14,2000-10-10,1,0,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,41,2025-10-14,2000-10-11,1,3,0,1
Northwest,NMP,NGN,NINGALOO_201909_NGN,41,2025-10-14,2000-10-12,1,1,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,41,2025-10-14,2000-10-13,1,1,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,42,2025-10-21,2000-10-14,1,0,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,42,2025-10-21,2000-10-15,1,0,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,42,2025-10-21,2000-10-16,1,0,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,42,2025-10-21,2000-10-17,1,4,0,4
Northwest,NMP,NGN,NINGALOO_201909_NGN,42,2025-10-21,2000-10-18,1,3,0,1
Northwest,NMP,NGN,NINGALOO_201909_NGN,42,2025-10-21,2000-10-19,1,0,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,42,2025-10-21,2000-10-20,1,0,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,43,2025-10-28,2000-10-21,1,0,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,43,2025-10-28,2000-10-22,1,0,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,43,2025-10-28,2000-10-23,1,0,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,43,2025-10-28,2000-10-24,1,0,0,0
