network,npz_id,Dep_ID,Dep,Date_week,Weekday,Begin_Date_loc,Total_ves_dep,Total_inside,Total_inside_small,Inside_maneuver,Inside_maneuver_small,Inside_transit,Inside_transit_small
Northwest,DMP,202009,DAMPIER_202009_DSW,2020-09-21,Sa,2020-09-19,0,0,0,0,0,0,0
Northwest,DMP,202009,DAMPIER_202009_DSW,2020-09-21,Su,2020-09-20,3,0,1,0,1,0,0
Northwest,DMP,202009,DAMPIER_202009_DSW,2020-09-21,Th,2020-09-17,3,0,0,0,0,0,0
Northwest,DMP,202009,DAMPIER_202009_DSW,2020-09-21,T,2020-09-15,5,0,0,0,0,0,0
Northwest,DMP,202009,DAMPIER_202009_DSW,2020-09-21,W,2020-09-16,10,0,0,0,0,0,0
Northwest,DMP,202009,DAMPIER_202009_DSW,2020-09-28,F,2020-09-25,9,0,0,0,0,0,0
Northwest,DMP,202009,DAMPIER_202009_DSW,2020-09-28,M,2020-09-21,3,0,0,0,0,0,0
Northwest,DMP,202009,DAMPIER_202009_DSW,2020-09-28,Sa,2020-09-26,3,0,0,0,0,0,0
Northwest,DMP,202009,DAMPIER_202009_DSW,2020-09-28,Su,2020-09-27,7,0,1,0,0,0,1
Northwest,DMP,202009,DAMPIER_202009_DSW,2020-09-28,Th,2020-09-24,8,0,0,0,0,0,0
Northwest,DMP,202009,DAMPIER_202009_DSW,2020-09-28,T,2020-09-22,4,0,0,0,0,0,0
Northwest,DMP,202009,DAMPIER_202009_DSW,2020-09-28,W,2020-09-23,6,0,1,0,0,0,1
Northwest,DMP,202009,DAMPIER_202009_DSW,2020-10-05,F,2020-10-02,2,0,0,0,0,0,0
Northwest,DMP,202009,DAMPIER_202009_DSW,2020-10-05,M,2020-09-28,3,0,0,0,0,0,0
Northwest,DMP,202009,DAMPIER_202009_DSW,2020-10-05,Sa,2020-10-03,2,0,0,0,0,0,0
Northwest,DMP,202009,DAMPIER_202009_DSW,2020-10-05,Su,2020-10-04,2,0,0,0,0,0,0
Northwest,DMP,202009,DAMPIER_202009_DSW,2020-10-05,Th,2020-10-01,11,1,1,1,1,0,0
Northwest,DMP,202009,DAMPIER_202009_DSW,2020-10-05,T,2020-09-29,10,0,0,0,0,0,0
