network.x,npz_id.x,Site_ID.x,Dep,Begin_Hour_loc,mean_diel,mean_diel_ins,mean_diel_ins_sm,sd_lower,sd_upper,sd_lower_ins,sd_upper_ins,sd_lower_ins_sm,sd_upper_ins_sm
Northwest,DMP,DSW,DAMPIER_202009_DSW,20,-0.17559523809523808,-0.002976190476190476,-0.008928571428571428,-0.2210968136145671,-0.13009366257590907,-0.006375239528096195,4.2285857571524275e-4,-0.006375239528096195,-0.0024793292989766487
Northwest,DMP,DSW,DAMPIER_202009_DSW,21,-0.050595238095238096,-0.002976190476190476,-0.008928571428571428,-0.0960968136145671,-0.00509366257590909,-0.006375239528096195,4.2285857571524275e-4,-0.006375239528096195,-0.0024793292989766487
Northwest,DMP,DSW,DAMPIER_202009_DSW,22,0.09226190476190475,-0.002976190476190476,0.00892857142857143,0.04676032924257575,0.13776348028123375,-0.006375239528096195,4.2285857571524275e-4,-0.006375239528096195,0.015377813558166208
Northwest,DMP,DSW,DAMPIER_202009_DSW,23,0.0744047619047619,-0.002976190476190476,0.00892857142857143,0.028903186385432898,0.1199063374240909,-0.006375239528096195,4.2285857571524275e-4,-0.006375239528096195,0.015377813558166208
Northwest,NMP,NGN,NINGALOO_201909_NGN,0,-0.030660377358490566,-7.861635220125786e-4,-0.01729559748427673,-0.0510677360969598,-0.010253018620021336,-0.002711863005332687,0.0011395359613075298,-0.002711863005332687,-0.007297429238919533
Northwest,NMP,NGN,NINGALOO_201909_NGN,1,-0.030660377358490566,-7.861635220125786e-4,-0.01729559748427673,-0.0510677360969598,-0.010253018620021336,-0.002711863005332687,0.0011395359613075298,-0.002711863005332687,-0.007297429238919533
Northwest,NMP,NGN,NINGALOO_201909_NGN,2,-0.030660377358490566,-7.861635220125786e-4,-0.01729559748427673,-0.0510677360969598,-0.010253018620021336,-0.002711863005332687,0.0011395359613075298,-0.002711863005332687,-0.007297429238919533
Northwest,NMP,NGN,NINGALOO_201909_NGN,3,-0.030660377358490566,-7.861635220125786e-4,-0.01729559748427673,-0.0510677360969598,-0.010253018620021336,-0.002711863005332687,0.0011395359613075298,-0.002711863005332687,-0.007297429238919533
Northwest,NMP,NGN,NINGALOO_201909_NGN,4,-0.011792452830188678,-7.861635220125786e-4,-0.01729559748427673,-0.03219981156865791,0.008614905908280552,-0.002711863005332687,0.0011395359613075298,-0.002711863005332687,-0.007297429238919533
Northwest,NMP,NGN,NINGALOO_201909_NGN,5,-0.011792452830188678,-7.861635220125786e-4,0.0015723270440251588,-0.03219981156865791,0.008614905908280552,-0.002711863005332687,0.0011395359613075298,-0.002711863005332687,0.011570495289382355
Northwest,NMP,NGN,NINGALOO_201909_NGN,6,0.007075471698113209,0.018081761006289308,0.020440251572327046,-0.013331887040356021,0.02748283043658244,0.0161560615229692,0.020007460489609417,0.0161560615229692,0.03043841981768424
Northwest,NMP,NGN,NINGALOO_201909_NGN,7,-0.011792452830188677,-7.861635220125786e-4,0.0015723270440251588,-0.03219981156865791,0.008614905908280554,-0.002711863005332687,0.0011395359613075298,-0.002711863005332687,0.011570495289382355
Northwest,NMP,NGN,NINGALOO_201909_NGN,8,-0.011792452830188677,-7.861635220125786e-4,0.0015723270440251586,-0.03219981156865791,0.008614905908280554,-0.002711863005332687,0.0011395359613075298,-0.002711863005332687,0.011570495289382355
Northwest,NMP,NGN,NINGALOO_201909_NGN,9,-0.011792452830188678,-7.861635220125786e-4,-0.01729559748427673,-0.03219981156865791,0.008614905908280552,-0.002711863005332687,0.0011395359613075298,-0.002711863005332687,-0.007297429238919533
Northwest,NMP,NGN,NINGALOO_201909_NGN,10,-0.011792452830188677,-7.861635220125786e-4,-0.01729559748427673,-0.03219981156865791,0.008614905908280554,-0.002711863005332687,0.0011395359613075298,-0.002711863005332687,-0.007297429238919533
Northwest,NMP,NGN,NINGALOO_201909_NGN,11,-0.011792452830188678,-7.861635220125786e-4,0.0015723270440251573,-0.03219981156865791,0.008614905908280552,-0.002711863005332687,0.0011395359613075298,-0.002711863005332687,0.011570495289382353
Northwest,NMP,NGN,NINGALOO_201909_NGN,12,-0.011792452830188677,-7.861635220125786e-4,0.0015723270440251586,-0.03219981156865791,0.008614905908280554,-0.002711863005332687,0.0011395359613075298,-0.002711863005332687,0.011570495289382355
Northwest,NMP,NGN,NINGALOO_201909_NGN,13,0.025943396226415096,-7.861635220125786e-4,0.0015723270440251588,0.005536037487945865,0.046350754964884326,-0.002711863005332687,0.0011395359613075298,-0.002711863005332687,0.011570495289382355
Northwest,NMP,NGN,NINGALOO_201909_NGN,14,0.0070754716981132094,-7.861635220125786e-4,0.020440251572327046,-0.013331887040356021,0.02748283043658244,-0.002711863005332687,0.0011395359613075298,-0.002711863005332687,0.03043841981768424
Northwest,NMP,NGN,NINGALOO_201909_NGN,15,0.0070754716981132094,-7.861635220125786e-4,0.0015723270440251586,-0.013331887040356021,0.02748283043658244,-0.002711863005332687,0.0011395359613075298,-0.002711863005332687,0.011570495289382355
Northwest,NMP,NGN,NINGALOO_201909_NGN,16,-0.030660377358490566,-7.861635220125786e-4,-0.01729559748427673,-0.0510677360969598,-0.010253018620021336,-0.002711863005332687,0.0011395359613075298,-0.002711863005332687,-0.007297429238919533
Northwest,NMP,NGN,NINGALOO_201909_NGN,17,0.007075471698113209,-7.861635220125786e-4,0.020440251572327046,-0.013331887040356021,0.02748283043658244,-0.002711863005332687,0.0011395359613075298,-0.002711863005332687,0.03043841981768424
Northwest,NMP,NGN,NINGALOO_201909_NGN,18,0.10141509433962265,-7.861635220125786e-4,0.05817610062893082,0.08100773560115342,0.12182245307809188,-0.002711863005332687,0.0011395359613075298,-0.002711863005332687,0.06817426887428801
Northwest,NMP,NGN,NINGALOO_201909_NGN,19,0.1391509433962264,-7.861635220125786e-4,0.039308176100628936,0.11874358465775718,0.15955830213469563,-0.002711863005332687,0.0011395359613075298,-0.002711863005332687,0.04930634434598613
Northwest,NMP,NGN,NINGALOO_201909_NGN,20,0.00707547169811321,-7.861635220125786e-4,0.0015723270440251586,-0.013331887040356021,0.02748283043658244,-0.002711863005332687,0.0011395359613075298,-0.002711863005332687,0.011570495289382355
Northwest,NMP,NGN,NINGALOO_201909_NGN,21,0.007075471698113209,-7.861635220125786e-4,0.0015723270440251588,-0.013331887040356021,0.02748283043658244,-0.002711863005332687,0.0011395359613075298,-0.002711863005332687,0.011570495289382355
Northwest,NMP,NGN,NINGALOO_201909_NGN,22,-0.030660377358490566,-7.861635220125786e-4,-0.01729559748427673,-0.0510677360969598,-0.010253018620021336,-0.002711863005332687,0.0011395359613075298,-0.002711863005332687,-0.007297429238919533
Northwest,NMP,NGN,NINGALOO_201909_NGN,23,-0.030660377358490566,-7.861635220125786e-4,-0.01729559748427673,-0.0510677360969598,-0.010253018620021336,-0.002711863005332687,0.0011395359613075298,-0.002711863005332687,-0.007297429238919533
Northwest,NMP,NGS,NINGALOO_201909_NGS,0,-0.06558641975308642,-0.0023148148148148147,-0.05478395061728395,-0.14639811420161875,0.015225274695445892,-0.005442888540241556,8.132589106119269e-4,-0.005442888540241556,0.017377300260923455
Northwest,NMP,NGS,NINGALOO_201909_NGS,1,-0.0470679012345679,-0.0023148148148148147,-0.036265432098765434,-0.1278795956831002,0.03374379321396441,-0.005442888540241556,8.132589106119269e-4,-0.005442888540241556,0.03589581877944197
Northwest,NMP,NGS,NINGALOO_201909_NGS,2,-0.06558641975308642,-0.0023148148148148147,-0.05478395061728395,-0.14639811420161875,0.015225274695445892,-0.005442888540241556,8.132589106119269e-4,-0.005442888540241556,0.017377300260923455
Northwest,NMP,NGS,NINGALOO_201909_NGS,3,-0.0470679012345679,-0.0023148148148148147,-0.036265432098765434,-0.1278795956831002,0.03374379321396441,-0.005442888540241556,8.132589106119269e-4,-0.005442888540241556,0.03589581877944197
Northwest,NMP,NGS,NINGALOO_201909_NGS,4,-0.06558641975308642,-0.0023148148148148147,-0.05478395061728395,-0.14639811420161875,0.015225274695445892,-0.005442888540241556,8.132589106119269e-4,-0.005442888540241556,0.017377300260923455
Northwest,NMP,NGS,NINGALOO_201909_NGS,5,0.008487654320987656,-0.0023148148148148147,-0.017746913580246913,-0.07232404012754466,0.08929934876951996,-0.005442888540241556,8.132589106119269e-4,-0.005442888540241556,0.0544143372979605
Northwest,NMP,NGS,NINGALOO_201909_NGS,6,-0.02854938271604938,0.016203703703703703,-0.017746913580246913,-0.1093610771645817,0.05226231173248293,0.013075629978276961,0.019331777429130444,0.013075629978276961,0.0544143372979605
Northwest,NMP,NGS,NINGALOO_201909_NGS,7,-0.0470679012345679,-0.0023148148148148147,-0.03626543209876543,-0.1278795956831002,0.03374379321396441,-0.005442888540241556,8.132589106119269e-4,-0.005442888540241556,0.03589581877944198
Northwest,NMP,NGS,NINGALOO_201909_NGS,8,0.008487654320987656,-0.0023148148148148147,-0.017746913580246913,-0.07232404012754466,0.08929934876951996,-0.005442888540241556,8.132589106119269e-4,-0.005442888540241556,0.0544143372979605
Northwest,NMP,NGS,NINGALOO_201909_NGS,9,-0.0470679012345679,-0.0023148148148148147,-0.05478395061728395,-0.1278795956831002,0.03374379321396441,-0.005442888540241556,8.132589106119269e-4,-0.005442888540241556,0.017377300260923455
Northwest,NMP,NGS,NINGALOO_201909_NGS,10,-0.06558641975308642,-0.0023148148148148147,-0.05478395061728395,-0.14639811420161875,0.015225274695445892,-0.005442888540241556,8.132589106119269e-4,-0.005442888540241556,0.017377300260923455
Northwest,NMP,NGS,NINGALOO_201909_NGS,11,-0.010030864197530864,-0.0023148148148148147,7.716049382716073e-4,-0.09084255864606318,0.07078083025100144,-0.005442888540241556,8.132589106119269e-4,-0.005442888540241556,0.07293285581647901
Northwest,NMP,NGS,NINGALOO_201909_NGS,12,-0.02854938271604938,0.016203703703703703,-0.017746913580246913,-0.1093610771645817,0.05226231173248293,0.013075629978276961,0.019331777429130444,0.013075629978276961,0.0544143372979605
Northwest,NMP,NGS,NINGALOO_201909_NGS,13,0.008487654320987656,0.016203703703703703,7.716049382716083e-4,-0.07232404012754466,0.08929934876951996,0.013075629978276961,0.019331777429130444,0.013075629978276961,0.07293285581647901
Northwest,NMP,NGS,NINGALOO_201909_NGS,14,-0.010030864197530864,-0.0023148148148148147,-0.05478395061728395,-0.09084255864606318,0.07078083025100144,-0.005442888540241556,8.132589106119269e-4,-0.005442888540241556,0.017377300260923455
