Dep,Weekday,ves_yn,network,npz_id,Site_ID,Date_noyr,Begin_Date_loc,n_hours,name,Perc_per_hour
CGMP_201812_CG,M,Y,Temperate East,CGMP,CG,2000-01-07,2019-01-07,11,freq,0.4583333333333333
CGMP_201812_CG,M,Y,Temperate East,CGMP,CG,2000-01-14,2019-01-14,11,freq,0.4583333333333333
CGMP_201812_CG,M,Y,Temperate East,CGMP,CG,2000-01-21,2019-01-21,11,freq,0.4583333333333333
CGMP_201812_CG,M,Y,Temperate East,CGMP,CG,2000-01-28,2019-01-28,3,freq,0.125
CGMP_201812_CG,M,Y,Temperate East,CGMP,CG,2000-02-11,2019-02-11,1,freq,0.041666666666666664
CGMP_201812_CG,M,Y,Temperate East,CGMP,CG,2000-12-17,2018-12-17,1,freq,0.041666666666666664
CGMP_201812_CG,M,Y,Temperate East,CGMP,CG,2000-12-24,2018-12-24,5,freq,0.20833333333333334
CGMP_201812_CG,Sa,N,Temperate East,CGMP,CG,2000-01-05,2019-01-05,24,freq,1
CGMP_201812_CG,Sa,N,Temperate East,CGMP,CG,2000-01-12,2019-01-12,18,freq,0.75
CGMP_201812_CG,Sa,N,Temperate East,CGMP,CG,2000-01-19,2019-01-19,19,freq,0.7916666666666666
CGMP_201812_CG,Sa,N,Temperate East,CGMP,CG,2000-01-26,2019-01-26,22,freq,0.9166666666666666
CGMP_201812_CG,Sa,N,Temperate East,CGMP,CG,2000-02-02,2019-02-02,15,freq,0.625
CGMP_201812_CG,Sa,N,Temperate East,CGMP,CG,2000-02-09,2019-02-09,8,freq,0.3333333333333333
CGMP_201812_CG,Sa,N,Temperate East,CGMP,CG,2000-02-16,2019-02-16,13,freq,0.5416666666666666
CGMP_201812_CG,Sa,N,Temperate East,CGMP,CG,2000-12-15,2018-12-15,24,freq,1
CGMP_201812_CG,Sa,N,Temperate East,CGMP,CG,2000-12-22,2018-12-22,20,freq,0.8333333333333334
CGMP_201812_CG,Sa,N,Temperate East,CGMP,CG,2000-12-29,2018-12-29,23,freq,0.9583333333333334
CGMP_201812_CG,Sa,Y,Temperate East,CGMP,CG,2000-01-12,2019-01-12,6,freq,0.25
CGMP_201812_CG,Sa,Y,Temperate East,CGMP,CG,2000-01-19,2019-01-19,5,freq,0.20833333333333334
CGMP_201812_CG,Sa,Y,Temperate East,CGMP,CG,2000-01-26,2019-01-26,2,freq,0.08333333333333333
CGMP_201812_CG,Sa,Y,Temperate East,CGMP,CG,2000-02-02,2019-02-02,9,freq,0.375
CGMP_201812_CG,Sa,Y,Temperate East,CGMP,CG,2000-02-09,2019-02-09,16,freq,0.6666666666666666
CGMP_201812_CG,Sa,Y,Temperate East,CGMP,CG,2000-02-16,2019-02-16,11,freq,0.4583333333333333
CGMP_201812_CG,Sa,Y,Temperate East,CGMP,CG,2000-12-22,2018-12-22,4,freq,0.16666666666666666
CGMP_201812_CG,Sa,Y,Temperate East,CGMP,CG,2000-12-29,2018-12-29,1,freq,0.041666666666666664
