network,npz_id,Site_ID,Dep,Week,Date_week,Begin_Date_loc,n_days,Total_ves_dep,Total_inside_ves_dep,Total_inside_ves_small
Northwest,DMP,DSW,DAMPIER_202009_DSW,42,2025-10-21,2020-10-18,1,1,0,0
Northwest,DMP,DSW,DAMPIER_202009_DSW,43,2025-10-28,2020-10-19,1,3,1,1
Northwest,DMP,DSW,DAMPIER_202009_DSW,43,2025-10-28,2020-10-20,1,4,0,1
Northwest,DMP,DSW,DAMPIER_202009_DSW,43,2025-10-28,2020-10-21,1,2,0,0
Northwest,DMP,DSW,DAMPIER_202009_DSW,43,2025-10-28,2020-10-22,1,3,0,0
Northwest,DMP,DSW,DAMPIER_202009_DSW,43,2025-10-28,2020-10-23,1,3,0,0
Northwest,DMP,DSW,DAMPIER_202009_DSW,43,2025-10-28,2020-10-24,1,4,0,0
Northwest,DMP,DSW,DAMPIER_202009_DSW,43,2025-10-28,2020-10-25,1,3,0,0
Northwest,DMP,DSW,DAMPIER_202009_DSW,44,2025-11-04,2020-10-26,1,1,0,0
Northwest,DMP,DSW,DAMPIER_202009_DSW,44,2025-11-04,2020-10-27,1,2,0,0
Northwest,DMP,DSW,DAMPIER_202009_DSW,44,2025-11-04,2020-10-28,1,3,0,0
Northwest,DMP,DSW,DAMPIER_202009_DSW,44,2025-11-04,2020-10-29,1,5,0,0
Northwest,DMP,DSW,DAMPIER_202009_DSW,44,2025-11-04,2020-10-30,1,3,0,0
Northwest,DMP,DSW,DAMPIER_202009_DSW,44,2025-11-04,2020-10-31,1,3,1,1
Northwest,DMP,DSW,DAMPIER_202009_DSW,44,2025-11-04,2020-11-01,1,2,0,0
Northwest,DMP,DSW,DAMPIER_202009_DSW,45,2025-11-11,2020-11-02,1,2,0,0
Northwest,DMP,DSW,DAMPIER_202009_DSW,45,2025-11-11,2020-11-03,1,6,0,0
Northwest,DMP,DSW,DAMPIER_202009_DSW,45,2025-11-11,2020-11-04,1,2,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,39,2025-09-30,2019-09-25,1,1,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,39,2025-09-30,2019-09-26,1,0,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,39,2025-09-30,2019-09-27,1,0,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,39,2025-09-30,2019-09-28,1,1,0,1
Northwest,NMP,NGN,NINGALOO_201909_NGN,39,2025-09-30,2019-09-29,1,1,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,40,2025-10-07,2019-09-30,1,0,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,40,2025-10-07,2019-10-01,1,1,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,40,2025-10-07,2019-10-02,1,0,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,40,2025-10-07,2019-10-03,1,0,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,40,2025-10-07,2019-10-04,1,0,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,40,2025-10-07,2019-10-05,1,2,0,1
Northwest,NMP,NGN,NINGALOO_201909_NGN,40,2025-10-07,2019-10-06,1,0,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,41,2025-10-14,2019-10-07,1,1,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,41,2025-10-14,2019-10-08,1,2,0,1
Northwest,NMP,NGN,NINGALOO_201909_NGN,41,2025-10-14,2019-10-09,1,1,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,41,2025-10-14,2019-10-10,1,0,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,41,2025-10-14,2019-10-11,1,3,0,1
Northwest,NMP,NGN,NINGALOO_201909_NGN,41,2025-10-14,2019-10-12,1,1,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,41,2025-10-14,2019-10-13,1,1,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,42,2025-10-21,2019-10-14,1,0,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,42,2025-10-21,2019-10-15,1,0,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,42,2025-10-21,2019-10-16,1,0,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,42,2025-10-21,2019-10-17,1,4,0,4
Northwest,NMP,NGN,NINGALOO_201909_NGN,42,2025-10-21,2019-10-18,1,3,0,1
Northwest,NMP,NGN,NINGALOO_201909_NGN,42,2025-10-21,2019-10-19,1,0,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,42,2025-10-21,2019-10-20,1,0,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,43,2025-10-28,2019-10-21,1,0,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,43,2025-10-28,2019-10-22,1,0,0,0
Northwest,NMP,NGN,NINGALOO_201909_NGN,43,2025-10-28,2019-10-23,1,0,0,0
